freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,STK_CL,OLWTC_AWS,THS_M3,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	571.13 	591.56 	612.51 	633.72 	655.76 	676.49 	697.25 	718.15 	738.66 	759.03 	779.39 
A,STK_CL,OWL,MIO_EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e
A,STK_CL,OWL,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	148.28 	148.28 	148.28 	148.28 	148.28 	148.28 	148.28 	148.28 	: 
A,STK_CL,OWL,MIO_EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,STK_CL,OWL,MIO_EUR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-232.8 	-251.8 	-187.76 	-211.21 	-185.67 	-130.51 	-68.43 	-82.72 	-86.37 	-118.99 	: 
A,STK_CL,OWL,MIO_EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,STK_CL,OWL,MIO_EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,STK_CL,OWL,MIO_EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	157.88 	147.78 	163.83 	201.29 	209.3 	: 	876.78 	: 
A,STK_CL,OWL,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.82 	10.51 	10.32 	13.13 	14.9 	17.75 	18.03 	18.81 	26.43 	26.62 	25.5 	25.34 	: 
A,STK_CL,OWL,MIO_EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116.05 	125.71 	113.44 	113.79 	119.84 	144.75 	128.32 	145.45 	147.78 	217.4 	225.78 
A,STK_CL,OWL,MIO_NAC,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e
A,STK_CL,OWL,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	290 	290 	290 	290 	290 	290 	290 	290 	: 
A,STK_CL,OWL,MIO_NAC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,STK_CL,OWL,MIO_NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-232.8 	-251.8 	-187.76 	-211.21 	-185.67 	-130.51 	-68.43 	-82.72 	-86.37 	-118.99 	: 
A,STK_CL,OWL,MIO_NAC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,STK_CL,OWL,MIO_NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,STK_CL,OWL,MIO_NAC,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1412.95 	1373 	1528 	1931.92 	2061.81 	: 	8911 	: 
A,STK_CL,OWL,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.77 	44.55 	46 	58 	66.22 	78.89 	80.96 	85.92 	122.99 	126.32 	123.39 	124.72 	: 
A,STK_CL,OWL,MIO_NAC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116.05 	125.71 	113.44 	113.79 	119.84 	144.75 	128.32 	145.45 	147.78 	217.4 	225.78 
A,STK_CL,OWL,THS_M3,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6747.66 ep	6822.35 ep	6897.03 ep	6968.93 ep	7040.82 ep	7112.74 ep	7184.66 ep	7256.58 ep	7328.51 ep	7400.43 ep	7451.94 ep	7503.44 ep	7554.95 ep	7606.46 ep	7696.94 ep	7761.43 ep	7825.93 ep
A,STK_CL,OWL,THS_M3,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4460 	4460 	4460 	4460 	4460 	4460 	4460 	4460 	: 
A,STK_CL,OWL,THS_M3,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 
A,STK_CL,OWL,THS_M3,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-16055.46 	-16038.4 	-9779.36 	-11799.39 	-12545.51 	-10793.73 	-5454.64 	-7520.11 	-8051.32 	-9695.18 	: 
A,STK_CL,OWL,THS_M3,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,STK_CL,OWL,THS_M3,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1972.14 	1972.14 	1972.14 	1971 	2344 	2716 	3088 	3461.1 	: 
A,STK_CL,OWL,THS_M3,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2200 	: 	: 
A,STK_CL,OWL,THS_M3,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,STK_CL,OWL,THS_M3,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,STK_CL,OWL,THS_M3,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7812 	7967 	8123 	: 	8438 	8731 	: 	: 
A,STK_CL,OWL,THS_M3,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	578.73 	602.06 	647.95 	682.31 	655.6 	686.03 	704.04 	747.16 	749.96 	770.23 	752.4 	760.48 	: 
A,STK_CL,OWL,THS_M3,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3564.19 	3727.04 	3893.08 	4052.17 	4209.44 	4366.45 	4524.64 	4678.2 	4835.74 	4996.58 	5157.44 
A,STK_CL,OWL_AWS,MIO_EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e
A,STK_CL,OWL_AWS,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 	0 	0 	0 	0 	: 
A,STK_CL,OWL_AWS,MIO_EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,STK_CL,OWL_AWS,MIO_EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,STK_CL,OWL_AWS,MIO_EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 
A,STK_CL,OWL_AWS,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.46 	2.98 	2.86 	3.56 	3.89 	4.52 	4.45 	4.54 	6.19 	6.1 	5.7 	5.46 	: 
A,STK_CL,OWL_AWS,MIO_EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.91 	56.8 	53.57 	55.75 	60.66 	75.43 	68.7 	79.73 	82.82 	124.15 	131.61 
A,STK_CL,OWL_AWS,MIO_NAC,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e	0 e
A,STK_CL,OWL_AWS,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 	0 	0 	0 	0 	: 
A,STK_CL,OWL_AWS,MIO_NAC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,STK_CL,OWL_AWS,MIO_NAC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,STK_CL,OWL_AWS,MIO_NAC,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 
A,STK_CL,OWL_AWS,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.56 	12.65 	12.77 	15.75 	17.28 	20.08 	20 	20.74 	28.81 	28.97 	27.58 	26.88 	: 
A,STK_CL,OWL_AWS,MIO_NAC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.91 	56.8 	53.57 	55.75 	60.66 	75.43 	68.7 	79.73 	82.82 	124.15 	131.61 
A,STK_CL,OWL_AWS,THS_M3,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1987.75 ep	1997.88 ep	2008 ep	2015.35 ep	2022.71 ep	2030.06 ep	2037.41 ep	2044.76 ep	2052.12 ep	2059.47 ep	2066.82 ep	2074.17 ep	2081.53 ep	2088.88 ep	2096.23 ep	2103.58 ep	2110.94 ep
A,STK_CL,OWL_AWS,THS_M3,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,STK_CL,OWL_AWS,THS_M3,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 
A,STK_CL,OWL_AWS,THS_M3,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,STK_CL,OWL_AWS,THS_M3,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	: 	0 	: 	: 	: 
A,STK_CL,OWL_AWS,THS_M3,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	169.3 	170.98 	179.89 	185.32 	171.1 	174.62 	173.92 	180.39 	175.67 	176.67 	168.15 	163.91 	: 
A,STK_CL,OWL_AWS,THS_M3,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1533.01 	1684.09 	1838.33 	1985.39 	2130.62 	2275.53 	2422.3 	2564.44 	2710.14 	2853.37 	2996.62 
A,STK_OP,FAWS,MIO_EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25709.15 p	29560.15 p	31168.11 p	25671.4 p	25766.35 p	32376.55 p	39838.97 p	40703.51 p	42392.74 p	40668.61 p	37145.62 p	35293.18 p	35599.01 p	34092.03 p	26302.71 p	24245.41 p	38591.04 p
A,STK_OP,FAWS,MIO_EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14310.77 	15770.02 	20355.35 	22889.35 	16559.98 	16514.98 	16795.68 	14060.74 b	14065.34 	14610.39 	14849.68 	14953.98 	15041.93 	15110.95 	15210.66 	18398.61 	: 
A,STK_OP,FAWS,MIO_EUR,CH	11124.75 	10527.18 	9653.61 	9736.99 	9107.71 	9901.54 	9460.53 	7976.08 	8027.51 	8514.07 	8598.22 	4481.11 	5362.2 	5346.06 	4938.49 	4023.85 	3905.44 	4751.71 	6556.29 	7234.97 	7274.59 	8204.68 	7717.36 	5939.54 	6608.81 	8523.16 	7223.02 	5708.25 	5873.54 	6119.91 	5505.98 	5688.18 	6851.23 p
A,STK_OP,FAWS,MIO_EUR,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	176 	178 	180.37 	182.67 	185.01 	187.38 	189.75 	192.16 	: 
A,STK_OP,FAWS,MIO_EUR,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	128769.5 	134691.62 	126768.48 	127240.76 	127441.58 	112918.03 	74404.31 	51693.89 	: 
A,STK_OP,FAWS,MIO_EUR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2400.71 	2745.34 	: 	: 	: 
A,STK_OP,FAWS,MIO_EUR,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60997.75 	67685.56 	84082.9 	83033.56 	77884.07 	76671.02 	84425.93 	73305.85 	65400.38 ep	80801.61 ep	: 
A,STK_OP,FAWS,MIO_EUR,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6774.89 	6695.33 	6742.2 	: 
A,STK_OP,FAWS,MIO_EUR,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	536.05 	536.54 	599.87 	617.12 	673.53 	781.68 	904.71 	1002.7 	1100.32 	1151.46 	873.06 	579.62 	: 
A,STK_OP,FAWS,MIO_EUR,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.25 	39.73 	40.82 	: 	: 
A,STK_OP,FAWS,MIO_EUR,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3790.2 	: 	: 
A,STK_OP,FAWS,MIO_EUR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19651.58 	19779.97 	18675.17 	20036.99 	: 	: 	103109.42 	: 
A,STK_OP,FAWS,MIO_EUR,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60092.58 	66995.29 	65347.04 	68941.88 	71827.36 	70526.97 	70988.59 	71313.04 	: 
A,STK_OP,FAWS,MIO_EUR,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31929.15 	32272.35 	26895.11 	26431.96 	32140.28 	38681.26 	44091.73 	43984.46 	43626.9 	61922.54 	61746.44 	61283.24 	: 
A,STK_OP,FAWS,MIO_EUR,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10289.58 	10387.05 	10860.31 	9413.35 	9102.49 	9252.01 	10833.58 	9303.62 	10255.47 	10161.96 	14590.04 
A,STK_OP,FAWS,MIO_EUR,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9133 	9184 	9386 	9482 	9395 	9485 	9548 	9544 	: 
A,STK_OP,FAWS,MIO_EUR,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9448.97 	10802.66 	9568.26 	9192.36 	9350.87 	: 	: 	: 	: 
A,STK_OP,FAWS,MIO_NAC,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25709.15 p	29560.15 p	31168.11 p	25671.4 p	25766.35 p	32376.55 p	39838.97 p	40703.51 p	42392.74 p	40668.61 p	37145.62 p	35293.18 p	35599.01 p	34092.03 p	26302.71 p	24245.41 p	38591.04 p
A,STK_OP,FAWS,MIO_NAC,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27989 	30843 	39811 	44767 	32388 	32300 	32849 	27500 b	27509 	28575 	29043 	29247 	29419 	29554 	29749 	35984 	: 
A,STK_OP,FAWS,MIO_NAC,CH	19604.04 	18659.42 	17548.34 	16846.94 	14766.33 	15304.81 	14833.16 	13112.68 	13020.62 	13625.06 	13395.16 	6768.72 	7866.35 	8132.42 	7624.04 	6230.12 	6142.86 	7805.64 	10407.45 	10924.81 	10041.11 	10113.09 	9301.73 	7312.17 	8027.06 	9101.88 	7874.54 	6345.86 	6783.94 	6807.79 	5894.15 	6149.49 	6883.43 p
A,STK_OP,FAWS,MIO_NAC,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	176 	178 	180.37 	182.67 	185.01 	187.38 	189.75 	192.16 	: 
A,STK_OP,FAWS,MIO_NAC,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	128769.5 	134691.62 	126768.48 	127240.76 	127441.58 	112918.03 	74404.31 	51693.89 	: 
A,STK_OP,FAWS,MIO_NAC,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17893 	20497 	: 	: 	: 
A,STK_OP,FAWS,MIO_NAC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	60997.75 	67685.56 	84082.9 	83033.56 	77884.07 	76671.02 	84425.93 	73305.85 	65400.38 ep	80801.61 ep	: 
A,STK_OP,FAWS,MIO_NAC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6670.13 	6698.8 	6736.74 	: 
A,STK_OP,FAWS,MIO_NAC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	536.05 	536.54 	599.87 	617.12 	673.53 	781.68 	904.71 	1002.7 	1100.32 	1151.46 	873.06 	579.62 	: 
A,STK_OP,FAWS,MIO_NAC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2353.09 	2443.57 	2517.65 	: 	: 
A,STK_OP,FAWS,MIO_NAC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3790.2 	: 	: 
A,STK_OP,FAWS,MIO_NAC,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	175873.78 	183767.82 	174183.33 	192305.05 	: 	: 	1047932 	: 
A,STK_OP,FAWS,MIO_NAC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	251445.4 	280315 	285122.2 	293485.6 	306092.3 	303096.7 	315402.3 	325558.3 	: 
A,STK_OP,FAWS,MIO_NAC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	134491.96 	136805.74 	119933.38 	116802.81 	142821.77 	171953.66 	197989.51 	200956.2 	203039.59 	293841.03 	298747.8 	301605.47 	: 
A,STK_OP,FAWS,MIO_NAC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10289.58 	10387.05 	10860.31 	9413.35 	9102.49 	9252.01 	10833.58 	9303.62 	10255.47 	10161.96 	14590.04 
A,STK_OP,FAWS,MIO_NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9133 	9184 	9386 	9482 	9395 	9485 	9548 	9544 	: 
A,STK_OP,FAWS,MIO_NAC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7617 	7841 	7841 	8058.67 	8272.81 	: 	: 	: 	: 
A,STK_OP,FAWS,THS_M3,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	895761.42 s	911767.72 s	926219 s	936865.34 s	946147.99 s	955234.93 s	1117615.71 p	1123337.14 p	1129058.57 p	1134780 p	1138935.09 p	1143090.18 p	1147245.27 p	1151400.36 p	1155555.45 p	1159710.55 p	1163865.64 p	1168020.73 p	1172175.82 p	1176330.91 p	1180486 p	1184641.09 p	1188796.18 p
A,STK_OP,FAWS,THS_M3,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	152586.43 s	155004.45 s	156374.79 s	157281.18 s	157668.9 s	157856.58 s	157844.77 s	158530.78 s	159350.54 s	160605.03 s	162342.04 s	163324.88 s	164317.67 s	165518.31 s	165994.05 s	166621.19 s	167215.14 s	167659.98 s	167743.35 s	168131.42 s	168629.08 s	: 	: 
A,STK_OP,FAWS,THS_M3,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	537687.45 s	548850.21 s	560978.91 s	572173.33 s	583393.86 s	593394.34 s	583093 	593143 	603192 	613241 	622851 	633341 	643910 	422751 b	425137 	428063 	424690 	427026 	429540 	431736 	434337 	486212 	: 
A,STK_OP,FAWS,THS_M3,CH	364469.5 	363266.08 	367471.1 	370315.81 	372747 	374838.19 	376597.3 	378865.9 	380673.91 	381975.48 	383349.84 	376856.16 	379397.92 	381532.05 	382428.39 	383139.14 	383732.11 	386191.54 	388000.18 	389825.49 	391800.15 	393625.5 	396336.96 	398310.99 	400372.9 	402200.93 	404635.54 	407202.88 	409474.36 	411501.44 	413675.52 	416073.96 	418670.57 p
A,STK_OP,FAWS,THS_M3,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2987.34 s	3090 s	3140.81 s	3190.44 s	3238.9 s	3286.18 s	3332.28 s	3332.15 s	3328.86 s	3322.41 s	3312.79 s	3300 s	3354.45 s	3407.68 s	3463 	3513 	3562.63 	3605.83 	3646.92 	3692.51 	3740.39 	3789.73 	: 
A,STK_OP,FAWS,THS_M3,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	656907.46 s	664608.37 s	672506.33 s	680238.63 s	687220.68 s	693517.69 s	700168.56 s	693204.58 s	685113.36 s	679828.22 s	675307.22 s	669294.91 s	674977.74 s	681175.72 s	687183.58 s	693019.31 s	698071.08 s	700092.81 s	700125.91 s	693298.52 s	678934.78 s	: 	: 
A,STK_OP,FAWS,THS_M3,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3194544.92 s	3228679.76 s	3271070.15 s	3306536.39 s	3332431.31 s	3355529.41 s	3358961.26 s	3359157.9 s	3325532.01 s	3336956.41 s	3359319.18 s	3372227.84 s	3390365.22 s	3410335.9 s	3516384.44 	3523586.84 	3526936.36 	3537276.82 	3548260.74 	3546976.87 	3539672.58 	3509300.46 	: 
A,STK_OP,FAWS,THS_M3,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96109.83 s	95434.59 s	97340.02 s	99591.05 s	101680.17 s	103752.64 s	104411.29 s	105901 s	107173.79 s	108613.66 s	110174.83 s	111376.16 s	114043.78 s	115987.76 s	117457.25 s	118650.88 s	119650.47 s	119636.86 s	123371 	125944 	127029 	: 	: 
