freq,stk_flow,indic_fo,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,BAL,FNAWS,MIO_NAC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-12 	-9 	-3 	: 	: 
A,BAL,FNAWS,THS_M3,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	413.71 	414.14 	414.14 	414 	414 	414.2 	414.2 	414.2 	414.2 	414.2 	283.25 	283.25 	283.25 	283.25 	533.21 	366.57 	366.57 
A,BAL,FNAWS,THS_M3,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FNAWS,THS_M3,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	-7490.41 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	: 	: 
A,BAL,FNAWS,THS_M3,CH	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,BAL,FNAWS,THS_M3,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	115.65 s	: 	: 	: 	: 	: 	: 	0 s	: 	: 
A,BAL,FNAWS,THS_M3,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FNAWS,THS_M3,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	51754.56 s	: 	: 	: 	: 	: 	: 	0 s	: 	: 
A,BAL,FNAWS,THS_M3,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	-107.67 s	-1 	1 	0 	: 	: 
A,BAL,FNAWS,THS_M3,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FNAWS,THS_M3,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FNAWS,THS_M3,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	: 	: 
A,BAL,FNAWS,THS_M3,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 s	0 s	0 s	0 s	0 s	-7490.41 s	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8777.71 s	: 	: 
