freq,unit,wat_proc,wat_src,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,MIO_M3,ABS_PWS,FSW,BG	488.32 	480.35 	487.62 	468.15 	426.94 	428.45 	421.29 	414.09 	390.72 	391.70 	360.05 	: 
A,MIO_M3,ABS_PWS,FSW,CH	189.00 	191.00 	174.00 	173.00 	165.00 	180.00 	177.00 	184.00 	199.00 	188.00 	200.00 	191.00 
A,MIO_M3,ABS_PWS,FSW,CY	21.40 	25.90 	52.50 	59.10 	41.60 	38.30 	21.70 	23.70 	24.80 	34.60 	55.40 	43.60 
A,MIO_M3,ABS_PWS,FSW,CZ	349.00 	326.60 	327.30 	314.80 	309.60 	316.10 	313.10 	320.60 	326.00 	326.20 	312.30 	305.90 
A,MIO_M3,ABS_PWS,FSW,DE	1545.80 	1548.69 s	1551.57 e	1554.46 	1571.65 e	1588.84 e	1606.03 	1596.17 e	1586.32 e	1576.46 	: 	: 
A,MIO_M3,ABS_PWS,FSW,DK	4.06 b	3.72 	3.96 	3.69 	3.70 	4.22 	3.50 	4.92 	5.41 	5.20 	5.40 p	6.68 p
A,MIO_M3,ABS_PWS,FSW,EE	28.10 	28.00 	27.70 	28.30 	28.14 	27.98 	27.91 	27.14 	27.59 	28.07 	28.54 	29.08 
A,MIO_M3,ABS_PWS,FSW,EL	633.45 s	628.50 	628.50 	628.50 	628.50 	628.50 	936.84 b	936.84 	936.84 	936.84 	936.84 	936.84 
A,MIO_M3,ABS_PWS,FSW,ES	3460.00 	3098.20 	3004.22 	3018.17 	3055.03 	3140.00 	3250.00 	3156.50 	3062.30 	3092.00 	3104.00 	: 
A,MIO_M3,ABS_PWS,FSW,FI	170.00 	160.00 e	153.00 	152.00 	143.00 	: 	: 	: 	: 	: 	: 	: 
A,MIO_M3,ABS_PWS,FSW,FR	1772.97 	1750.24 	1952.00 	1701.14 	1555.51 	1720.69 	1740.40 	1773.69 	1772.78 	1818.04 	1792.96 	: 
