freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCA,PL43	21.4 	18.5 	18.5 	15.9 
A,CVA,LCA,PL5	13 	11.5 	10.4 	13.8 
A,CVA,LCA,PL51	15.1 	13.3 	12.2 	16.3 
A,CVA,LCA,PL52	25.8 	22.9 	19.8 	22.4 
A,CVA,LCA,PL6	10.3 	9.3 	8.6 	10.6 
A,CVA,LCA,PL61	18.6 	16.2 	15.2 	13.5 
A,CVA,LCA,PL62	17.2 	15.3 	14.4 	23.6 
A,CVA,LCA,PL63	18 	16.9 	15.6 	13.1 
A,CVA,LCA,PL7	: 	: 	: 	8.1 
A,CVA,LCA,PL71	: 	: 	: 	10.5 
A,CVA,LCA,PL72	: 	: 	: 	12.6 
A,CVA,LCA,PL8	: 	: 	: 	9.8 
A,CVA,LCA,PL81	: 	: 	: 	13 
A,CVA,LCA,PL82	: 	: 	: 	14.3 
A,CVA,LCA,PL84	: 	: 	: 	21.7 
A,CVA,LCA,PL9	: 	: 	: 	8.6 
A,CVA,LCA,PL91	: 	: 	: 	10.1 
A,CVA,LCA,PL92	: 	: 	: 	12.8 
A,CVA,LCA,PT	4.4 	3.8 	3.7 	5.1 
A,CVA,LCA,PT1	4.4 	3.8 	3.7 	5.1 
A,CVA,LCA,PT11	7.7 	7.1 	7.1 	10.2 
A,CVA,LCA,PT15	17.8 	14 	14.5 	19.7 
A,CVA,LCA,PT16	8 	6.7 	6.5 	8.3 
A,CVA,LCA,PT17	12.7 	11.1 	11.2 	10.6 
A,CVA,LCA,PT18	10.9 	9 	8.3 	13 
A,CVA,LCA,RO	: 	4.7 	4.5 	4.7 
A,CVA,LCA,RO1	: 	9.6 	9.4 	8.7 
A,CVA,LCA,RO11	: 	12.4 	12.4 	14 
A,CVA,LCA,RO12	: 	14.9 	14.4 	10.4 
A,CVA,LCA,RO2	: 	9.1 	8.5 	10.1 
A,CVA,LCA,RO21	: 	12.3 	11.4 	13 
A,CVA,LCA,RO22	: 	13.7 	12.7 	15.5 
A,CVA,LCA,RO3	: 	9.7 	9.6 	10.7 
A,CVA,LCA,RO31	: 	11.4 	11.2 	13 
A,CVA,LCA,RO32	: 	15.5 	17.8 	9.9 
A,CVA,LCA,RO4	: 	9.6 	9 	8.4 
A,CVA,LCA,RO41	: 	12.7 	12.3 	9.7 
A,CVA,LCA,RO42	: 	14.5 	13.5 	13.2 
A,CVA,LCA,SE	4.7 	4.7 	4.3 	4.9 
A,CVA,LCA,SE1	10 	10.4 	8.6 	10 
A,CVA,LCA,SE11	19.8 	20.4 	17 	14.4 
A,CVA,LCA,SE12	11.6 	12.1 	10 	13.1 
A,CVA,LCA,SE2	7.8 	8.3 	6.8 	7.5 
A,CVA,LCA,SE21	15.4 	16.2 	13.1 	12.1 
