freq,nutrient,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,N,T,MT	: 	: 	: 	: 	: 	715 e	624 e	642 e	536 e	527 e	591 e	681 e	592 e	407 e	440 e	552 e	471 e	548 e	571 e	594 e	618 e	568 e	585 e	586 e	586 e	: 	: 	: 
A,N,T,NL	: 	: 	: 	: 	: 	322052 	280855 	274795 	273159 	283095 	261846 	270371 	240105 	220712 	211350 	205211 	200420 	199520 	216026 	213200 	244893 	229825 	230232 	212318 	214752 	217427 	211848 	194192 
A,N,T,NO	: 	: 	: 	: 	: 	105262 	98580 	99187 	102501 	103946 	105647 	102889 	106420 	101777 	91179 	84131 	95548 	94242 	95523 	101307 	102613 	100886 	99318 	102392 	106765 	105884 	: 	99043 
A,N,T,NO01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7278 	7607 	8851 	8281 	8301 	7907 	7708 	: 	: 	: 
A,N,T,NO02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20291 	20930 	21898 	22036 	21558 	22275 	22485 	22022 	: 	21645 
A,N,T,NO03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21185 	21909 	24071 	23027 	23566 	23431 	23284 	: 	: 	: 
A,N,T,NO04	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13410 	16513 	14191 	14211 	12637 	13989 	15404 	: 	: 	: 
A,N,T,NO05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11171 	12074 	11375 	11211 	11333 	11860 	12725 	: 	: 	: 
A,N,T,NO06	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15992 	16072 	16051 	15884 	15996 	20975 	22565 	17647 	: 	16302 
A,N,T,NO07	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6196 	5997 	6177 	6236 	5928 	1955 	2595 	6374 	: 	5460 
A,N,T,NO08	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25963 	: 	24802 
A,N,T,NO09	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10607 	: 	9320 
A,N,T,NO0A	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23270 	: 	21514 
A,N,T,PL	: 	: 	: 	: 	: 	861266 	895563 	861775 	831660 	895024 	895294 	996464 	1056190 	1142275 	1095441 	1023709 	1091065 	1094673 	1179147 	1098455 	1003597 	1043004 	1150601 	1178764 	994134 	1033046 	: 	: 
A,N,T,PL1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	166645 	190989 	214712 	218945 	194536 	184264 	190825 	191649 	205305 	206294 	162339 	189212 	: 	: 	: 	: 	: 	: 
A,N,T,PL11	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87199 	76996 	86982 	85798 	75958 	70890 	75414 	73538 	85895 	73571 	67999 	72377 	: 	: 	: 	: 	: 	: 
